"","TS001","TS002","TS003","TS004","TS005","TS007","TS008","TS009","TS010","TS011","TS012"
"RGN",6.73058904638834,7.21376713913583,5.92690794280916,20.017575488008,18.1787076323503,19.2219908134822,19.0311941068041,17.5619481938482,8.72493151956367,12.6775267407043,19.2383323516354
"FADS1",46.0372290772962,105.200770779064,81.7194883023687,80.0703019520319,106.980890048787,115.331944880893,81.6877408584361,93.3089368683247,99.4211332414477,145.500788556157,141.365214305372
"GHR",6.99981260824387,9.61835618551445,7.00452756877446,10.6943211511275,14.3177431794617,8.66565159624197,14.639380082157,20.5776362675393,8.50950111167321,12.0959888168188,13.8808220764964
"FGF18",1.88456493298874,3.40650114903637,1.79603270994217,1.37106681424712,0.48262055661107,0,1.31754420739413,1.41914732879581,0.10771520394523,0.814153093439725,0.243523194324499
"ASAH2",0,0.801529682126204,0.179603270994217,0.137106681424712,0.321747037740713,0.315114603499708,0.878362804929421,1.77393416099477,2.04658887495938,1.74461377165655,0.487046388648998
"TICAM1",5.38447123711067,6.81300229807273,8.80056027871663,8.77482761118157,19.7874428210539,9.29588080324139,13.0290482731197,13.3045062074607,15.5109893681132,11.6307584777104,15.2201996452812
"ARL6IP4",256.570054448324,221.021809846301,141.706980814437,113.387225538237,71.5887158973087,85.3960575484209,78.7598648420047,79.1174635803666,63.6596855316312,75.5999301051173,81.8237932930316
"NNMT",3.76912986597747,2.60497146691016,1.97563598093639,3.4276670356178,1.44786166983321,1.57557301749854,3.22066361807454,4.25744198638744,0.754006427616613,1.16307584777104,1.70466236027149
"CPT2",53.3062652473957,93.7789728087658,109.378392035478,60.7382598711475,52.766514189477,80.1966665906757,54.3121001048025,40.9778791189791,75.8315035774422,59.7820985754312,61.3678449697737
"PXK",14.2688487783433,37.2711302188685,16.523500931468,13.1622414167724,6.27406723594391,4.25404714724606,4.68460162629024,6.20876956348168,5.17032978937106,6.16430199318649,6.94041103824822
"PLA2G16",288.338434747276,186.556033514874,180.1420808072,124.081546689364,98.7763405863989,137.232409824123,111.698470026858,104.839508914791,133.02827687236,123.751270202838,113.968854943865
"HSD17B10",37.9605222216302,33.463864228769,37.3574803667971,30.7118966391355,30.8877156231085,34.1899344797183,28.4003973593846,36.5430437164922,41.3626383149685,38.2651953916671,35.1891015798901
"ETFB",120.073708587568,91.9755310239819,67.890036435814,56.4879527469814,46.3315734346627,64.2833791139404,43.4789588440063,56.2337129035341,77.6626620445112,55.2461027691242,59.2978978180155
"HACL1",89.9206696597482,91.7751486034503,53.3421714852824,37.7043373917958,9.81328465109175,13.2348133469877,13.614623476406,9.75663788547121,11.9563876379206,12.4449115711501,12.5414445077117
"GALT",10.7689424742213,18.0344178478396,15.6254845764969,16.7270151338149,27.6702452457013,21.9004649432297,24.0085833347375,23.4159309251309,13.0335396773729,20.5864425055473,20.3341867260957
"FXYD1",1.88456493298874,1.00191210265775,1.0776196259653,2.05660022137068,0.965241113222139,1.10290111224898,1.31754420739413,3.90265515418849,1.93887367101415,3.2566123737589,3.89637110919198
"RBP4",4.8460241133996,4.60879567222567,6.28611448479759,4.11320044274136,2.41310278305535,0.630229206999416,0.29278760164314,0.709573664397906,0.323145611835691,0.581537923885518,0.730569582973497
"TMEM223",10.4997189123658,16.6317409041187,15.6254845764969,10.4201077882781,12.2263874341471,11.0290111224898,10.9795350616178,12.7723259591623,16.803571815456,15.3526011905777,13.8808220764964
