"","logFC","logCPM","PValue","FDR"
"PRND",0.929059395714889,10.1233447956671,0.00036792790952754,0.00129825990933289
"GDNF",-2.37242171320497,0.834354284276071,0.000382092211057324,0.00132925036804449
"RNF144A",-0.937695405019302,4.3829446172097,0.00040570165181409,0.00139178205552889
"PHLDA1",1.09499055737115,6.37901729401166,0.000467906443509543,0.00158319029516243
"RHOJ",1.23735200461772,4.80897296410919,0.000493089269229091,0.00164585202026467
"NUAK2",0.980771706548943,4.89831091345409,0.000532782188433987,0.00175462934057593
"SLC52A3",0.714356806264217,8.55322946528768,0.000585679913120642,0.00189156738584929
"PLEKHH2",1.10912574369457,6.76468384028231,0.000593470850741306,0.00189156738584929
"CAMSAP3",0.67944924559712,7.33228965783155,0.000599579542562201,0.00189156738584929
"MFGE8",0.745739679190215,7.60021513337963,0.000604995236769612,0.00189156738584929
"RAB38",-1.50529688101276,2.2566039887669,0.000708110011331894,0.00218628965998722
"CLDN11",0.717837438054375,10.1409809740113,0.0007518183579582,0.00229258190636636
"PIK3R1",0.791908884290965,6.63390431669445,0.00101800199377602,0.00306642063978875
"PIK3CA",-0.894627676100344,4.39682371658243,0.00103642760123845,0.00308430864464935
"SLC25A53",1.07612177144341,3.22219522140578,0.00106659077892781,0.00313628479041868
"PVRL2",0.656805826926912,8.21550934997891,0.00109829156727808,0.00319150608373749
"LAMA5",1.11520997316905,7.35130587430762,0.00119994773514156,0.00344636151837169
"DRP2",-1.47372074290006,2.04158700207174,0.00129085953305248,0.00366485407659726
"GAS6",0.577170026707897,9.26222517109479,0.00140622413267364,0.00390375966866581
"BMP7",-1.99570948100392,1.58078959582849,0.00141360178699569,0.00390375966866581
"ITGB5",0.827534295769339,6.67405528378381,0.00142242255133572,0.00390375966866581
"FSTL3",-0.951949493454234,7.61127907151894,0.00145091226724296,0.00393819043965946
"TMEM206",-0.97861892636854,4.45975338159643,0.00147750274411651,0.0039667736717041
"MPZL1",0.660699042861133,8.58412158135949,0.00153231169189743,0.00406968804192113
"SDC4",0.619584350401482,8.30272055435658,0.00156685704499947,0.00411716691611563
"TPD52",-0.861064111187902,4.47723968020391,0.00165069687543832,0.00429181187613962
"FAM122B",0.652595764335713,8.25659284746774,0.00176228664736879,0.00453421668645927
"SEMA6C",0.588487010235679,8.22673770609562,0.00217011189524529,0.00552595503222254
"SPTBN4",-0.745030490438999,4.92722257895349,0.00231636421059606,0.0058381832654819
"PRKACB",0.77920291510407,6.04686973635,0.00243786372702546,0.00608234687449787
"ITGB8",0.749996842568808,6.96627086546623,0.00264056004507022,0.00652218331132344
"SERPINA5",0.671352313243403,11.7121254845581,0.0028557562635725,0.00698387917923176
"TSPAN13",-0.886929721074952,4.40285146706004,0.0029686343749135,0.00718875186866308
"NOTCH1",-0.765997703308079,5.30367552461548,0.00323129964644011,0.00774884478321074
"HMGN5",0.671401310924021,7.68219639769948,0.00444321549801912,0.0105526368077954
"PTPN7",0.668728345859946,7.16150316360232,0.00521428770136539,0.0122659910689262
"RIN3",0.637676362956097,6.59675341777007,0.00552912150822579,0.0128838963446393
"RND3",-0.835793007894604,3.99755086193551,0.00583786166586936,0.0134761853408386
