"","logFC","logCPM","PValue","FDR"
"SPTBN5",-2.07829343060339,3.10277173757255,7.4574525678226e-08,6.99136178233369e-07
"CDH1",-2.70140114780761,1.18620447450424,8.64764188026852e-08,7.90942854902608e-07
"FZD7",-1.66874988113082,3.62812044023718,9.27233206456459e-08,8.27886791478982e-07
"ARL6IP4",-1.36567694457541,6.89214888289585,1.53004480201391e-07,1.33434139710516e-06
"TMEM160",-2.26173283459808,2.42262472144124,1.5686772713272e-07,1.33694085624477e-06
"RBP4",-2.65677038778045,1.32764951955048,1.97365268760274e-07,1.64471057300229e-06
"RAB39A",-3.18735039417982,-0.0285759387773419,2.29196078512071e-07,1.86844629221797e-06
"SPTB",-1.69997353273193,3.17502982403609,2.48754072536857e-07,1.98473994045365e-06
"FGF8",-4.41119122219993,-0.555847057328501,6.16864355894127e-07,4.81925278042287e-06
"VDR",-1.7706409397761,2.4416920837521,7.01785490974986e-07,5.37080732889019e-06
"PUS1",-1.02427036321886,4.92457481344844,7.48250754013846e-07,5.61188065510384e-06
"AMOT",-1.20585972330194,4.45869801223963,8.46436881351342e-07,6.22380059817163e-06
"ARTN",-2.67312909750908,1.34045862106403,8.73917165689918e-07,6.30228725257152e-06
"WNT5B",-1.61156024575312,2.64060231190571,9.0307624299496e-07,6.38969039854925e-06
"NUDT7",-1.44934355934126,3.61527963018601,1.89958044950351e-06,1.31915308993299e-05
"DSG3",-3.24582718996558,-0.368261948630281,2.5627413923171e-06,1.74732367657984e-05
"CNIH4",-1.43560012711869,4.0103201389852,2.92468469347823e-06,1.94876467446228e-05
"WNK4",-2.4409064753209,1.00536921873761,2.96212230518266e-06,1.94876467446228e-05
"ACTN2",1.20267598019147,6.30017698897493,4.8670287883e-06,3.14678585450431e-05
"PNP",1.14026479922305,4.95662024807774,5.40564597620106e-06,3.4357919340261e-05
"LAMA1",1.19050235425045,8.02856420404198,6.5583700089385e-06,4.09898125558656e-05
"CCL20",-2.78720420704043,0.0454747999023022,1.14958107605129e-05,7.06709677900386e-05
"TSFM",-1.1177137841191,5.28272537582685,1.69175895307664e-05,0.00010232413022641
"NRTN",1.81881021837288,3.47249410988257,1.8063740248449e-05,0.000107522263383625
"DUSP5",-2.69986775055707,6.15258942750819,1.86215230011251e-05,0.000109110486334717
